iter	Passed	Remaining
355	78646	142270
356	78965	142225
357	79214	142055
358	79427	141818
359	79631	141567
360	79932	141487
361	80137	141236
362	80404	141094
363	80598	140826
364	80800	140570
365	80992	140298
366	81313	140249
367	81517	139997
368	81747	139789
369	81990	139604
370	82275	139491
371	82541	139345
372	82872	139306
373	83018	138955
374	83218	138697
375	83457	138503
376	83680	138283
377	83882	138029
378	84000	137636
379	84203	137384
380	84411	137140
381	84676	136990
382	84881	136741
383	85085	136490
384	85281	136228
385	85389	135826
386	85602	135593
387	85824	135372
388	86088	135218
389	86229	134872
390	86372	134528
391	86516	134188
392	86732	133960
393	86951	133737
394	87196	133554
395	87458	133396
396	87703	133212
397	87810	132819
398	87986	132531
399	88145	132218
400	88348	131972
401	88562	131742
402	88742	131462
403	88923	131183
404	89145	130967
405	89236	130557
406	89442	130317
407	89632	130054
408	89833	129808
409	90032	129558
410	90265	129358
411	90337	128927
412	90537	128681
413	90742	128442
414	90947	128202
415	91129	127932
416	91455	127862
417	91590	127525
418	91808	127304
419	92012	127064
420	92219	126829
421	92363	126507
422	92669	126407
423	92881	126177
424	93077	125928
425	93363	125799
426	93608	125614
427	93853	125430
428	94081	125222
429	94389	125121
430	94583	124867
431	94820	124671
432	94891	124257
433	95005	123900
434	95284	123760
435	95484	123517
436	95757	123366
437	95945	123108
438	96222	122963
439	96439	122740
440	96664	122529
441	96904	122336
442	97051	122025
443	97316	121864
444	97514	121619
445	97710	121371
446	97909	121127
447	98106	120880
448	98299	120630
449	98497	120385
450	98789	120255
451	99007	120035
452	99270	119870
453	99526	119695
454	99751	119483
455	100061	119371
456	100259	119126
457	100485	118915
458	100790	118796
459	100988	118552
460	101182	118301
461	101381	118058
462	101649	117895
463	101738	117525
464	101909	117250
465	102215	117131
466	102447	116926
467	102680	116722
468	102875	116474
469	103084	116244
470	103295	116015
471	103536	115820
472	103731	115574
473	103874	115269
474	103986	114932
475	104293	114810
476	104526	114606
477	104777	114422
478	105083	114297
479	105187	113953
480	105383	113708
481	105591	113478
482	105809	113258
483	106022	113032
484	106329	112906
485	106653	112797
486	106870	112576
487	107068	112334
488	107353	112183
489	107565	111955
490	107661	111608
491	107941	111451
492	108142	111213
493	108401	111034
494	108464	110656
495	108742	110496
496	108954	110269
497	109153	110030
498	109356	109795
499	109556	109556
500	109784	109346
501	109987	109111
502	110254	108939
503	110460	108706
504	110662	108471
505	110857	108228
506	111050	107984
507	111323	107816
508	111543	107598
509	111823	107438
510	112059	107234
511	112185	106926
512	112380	106684
513	112507	106378
514	112659	106096
515	112910	105908
516	113150	105709
517	113230	105360
518	113551	105237
519	113829	105073
520	114133	104933
521	114347	104708
522	114556	104480
523	114816	104298
524	115010	104057
525	115243	103850
526	115467	103635
527	115663	103395
528	115954	103241
529	116154	103005
530	116419	102826
531	116644	102611
532	116961	102478
533	117217	102291
534	117394	102034
535	117623	101823
536	117834	101596
537	118023	101350
538	118217	101110
539	118490	100936
540	118684	100695
541	118932	100499
542	119125	100258
543	119319	100017
544	119520	99782
545	119807	99619
546	119958	99343
547	120153	99105
548	120347	98864
549	120547	98630
550	120750	98397
551	120958	98168
552	121241	98002
553	121443	97768
554	121637	97529
555	121861	97313
556	122151	97150
557	122359	96922
558	122564	96692
559	122643	96363
560	122844	96129
561	123115	95951
562	123321	95722
563	123537	95500
564	123763	95286
565	123953	95045
566	124230	94871
567	124483	94677
568	124683	94444
569	124881	94209
570	125081	93975
571	125275	93737
572	125473	93502
573	125672	93269
574	125751	92946
575	126048	92785
576	126248	92553
577	126470	92336
578	126681	92112
579	126966	91941
580	127172	91713
581	127367	91477
582	127653	91306
583	127768	91013
584	127994	90799
585	128188	90563
586	128397	90337
587	128598	90106
588	128797	89873
589	129099	89713
590	129304	89485
591	129501	89251
592	129731	89040
593	130025	88872
594	130245	88654
595	130451	88426
596	130647	88192
597	130763	87904
598	130956	87668
599	131075	87383
600	131273	87151
601	131475	86922
602	131668	86686
603	131867	86455
604	131962	86157
605	132253	85986
606	132456	85758
607	132600	85492
608	132801	85263
609	133006	85037
610	133211	84810
611	133504	84640
612	133782	84460
613	134059	84278
614	134258	84047
615	134452	83814
616	134720	83627
617	134919	83396
618	135115	83164
619	135370	82969
620	135616	82767
621	135900	82589
622	136138	82382
623	136424	82204
624	136647	81988
625	136855	81763
626	137085	81551
627	137372	81373
628	137580	81148
629	137812	80937
630	138020	80712
631	138249	80499
632	138574	80342
633	138797	80125
634	139001	79898
635	139258	79701
636	139456	79470
637	139691	79260
638	139912	79043
639	140119	78817
640	140350	78605
641	140658	78435
642	140897	78227
643	141203	78056
644	141409	77829
645	141622	77607
646	141821	77376
647	142023	77148
648	142289	76954
649	142610	76790
650	142805	76557
651	143085	76370
652	143306	76152
653	143507	75922
654	143764	75723
655	143839	75428
656	144033	75195
657	144263	74981
658	144491	74767
659	144705	74545
660	144926	74326
661	145077	74072
662	145252	73830
663	145488	73620
664	145691	73393
665	145896	73167
666	146085	72933
667	146399	72761
668	146607	72536
669	146891	72349
670	147153	72151
671	147336	71914
672	147524	71680
673	147725	71451
674	147924	71222
675	148128	70996
676	148347	70777
677	148506	70529
678	148680	70289
679	148908	70074
680	149119	69851
681	149333	69630
682	149559	69414
683	149765	69189
684	149998	68977
685	150327	68808
686	150545	68589
687	150840	68404
688	151049	68180
689	151218	67938
690	151380	67693
691	151548	67452
692	151765	67232
693	151955	67000
694	152196	66791
695	152292	66518
696	152516	66301
697	152759	66093
698	152993	65881
699	153255	65681
700	153502	65474
701	153761	65271
702	154010	65065
703	154287	64870
704	154510	64653
705	154737	64437
706	154959	64219
707	155293	64047
708	155514	63828
709	155708	63599
710	155912	63373
711	156103	63142
712	156299	62914
713	156545	62706
714	156851	62521
715	157058	62296
716	157302	62087
717	157526	61869
718	157802	61672
719	157987	61439
720	158274	61246
721	158652	61087
722	158843	60857
723	159095	60649
724	159354	60444
725	159612	60239
726	159825	60016
727	160127	59827
728	160326	59600
729	160542	59378
730	160743	59151
731	160939	58923
732	161137	58695
733	161370	58480
734	161603	58265
735	161824	58045
736	161945	57790
737	162104	57549
738	162342	57335
739	162452	57077
740	162773	56893
741	162865	56629
742	163139	56429
743	163546	56273
744	163752	56049
745	164004	55840
746	164224	55620
747	164550	55436
748	164695	55191
749	164965	54988
750	165044	54721
751	165190	54477
752	165366	54243
753	165558	54014
754	165753	53787
755	165934	53555
756	166059	53305
757	166283	53087
758	166455	52853
759	166777	52666
760	166877	52409
761	167049	52175
762	167239	51947
763	167407	51712
764	167595	51483
765	167664	51218
766	167835	50985
767	167998	50749
768	168185	50521
769	168399	50301
770	168579	50071
771	168752	49838
772	168844	49582
773	169071	49367
774	169276	49144
775	169485	48923
776	169695	48702
777	169885	48476
778	169981	48223
779	170225	48012
780	170422	47788
781	170576	47551
782	170779	47329
783	170994	47110
784	171167	46880
785	171228	46619
786	171388	46386
787	171513	46143
788	171692	45915
789	171908	45697
790	172082	45468
791	172364	45267
792	172577	45048
793	172781	44827
794	172976	44604
795	173181	44383
796	173402	44166
797	173699	43969
798	173901	43747
799	174111	43527
800	174204	43279
801	174412	43059
802	174702	42859
803	174902	42637
804	175190	42437
805	175391	42215
806	175677	42014
807	175998	41821
808	176281	41618
809	176472	41394
810	176669	41171
811	176903	40957
812	177141	40744
813	177405	40537
814	177716	40340
815	177863	40106
816	178004	39871
817	178198	39648
818	178481	39444
819	178677	39221
820	178878	39000
821	178970	38755
822	179256	38552
823	179456	38330
824	179698	38117
825	180010	37919
826	180356	37728
827	180475	37490
828	180773	37288
829	180970	37066
830	181038	36817
831	181255	36599
832	181510	36389
833	181704	36166
834	181901	35944
835	182105	35724
836	182312	35504
837	182520	35284
838	182758	35070
839	183006	34858
840	183309	34656
841	183516	34436
842	183722	34216
843	183953	34000
844	184227	33793
845	184423	33571
846	184651	33354
847	184854	33134
848	185077	32917
849	185274	32695
850	185479	32475
851	185726	32262
852	185927	32041
853	186129	31820
854	186199	31577
855	186388	31355
856	186585	31133
857	186781	30912
858	187080	30708
859	187308	30492
860	187555	30278
861	187772	30061
862	187890	29827
863	188100	29608
864	188304	29388
865	188498	29167
866	188769	28957
867	188985	28739
868	189185	28519
869	189410	28302
870	189555	28074
871	189757	27854
872	189961	27634
873	190188	27418
874	190383	27197
875	190580	26977
876	190766	26755
877	190976	26536
878	191180	26317
879	191385	26097
880	191655	25887
881	191984	25685
882	192187	25465
883	192440	25252
884	192643	25032
885	192975	24829
886	193175	24609
887	193374	24389
888	193592	24171
889	193898	23964
890	194102	23745
891	194300	23525
892	194499	23305
893	194731	23089
894	194940	22870
895	195183	22655
896	195438	22441
897	195723	22231
898	195936	22012
899	196016	21779
900	196234	21561
901	196441	21342
902	196666	21125
903	196917	20911
904	197215	20702
905	197386	20479
906	197633	20264
907	197774	20038
908	198125	19834
909	198320	19614
910	198484	19390
911	198675	19170
912	198897	18952
913	199115	18735
914	199346	18518
915	199581	18302
916	199817	18085
917	200039	17868
918	200255	17650
919	200422	17428
920	200636	17209
921	200836	16990
922	201052	16772
923	201235	16551
924	201446	16333
925	201679	16116
926	201899	15899
927	202042	15675
928	202264	15458
929	202484	15240
930	202697	15022
931	202911	14804
932	203008	14578
933	203372	14371
934	203580	14152
935	203838	13937
936	204053	13719
937	204280	13502
938	204566	13289
939	204857	13076
940	205149	12862
941	205352	12643
942	205522	12422
943	205746	12205
944	205959	11987
945	206176	11769
946	206383	11550
947	206618	11333
948	206836	11115
949	207045	10897
950	207269	10679
951	207481	10461
952	207710	10243
953	207926	10025
954	208155	9808
955	208374	9590
956	208576	9371
957	208765	9152
958	208979	8934
959	209184	8716
960	209386	8497
961	209590	8279
962	209804	8061
963	210013	7842
964	210267	7626
965	210416	7405
966	210616	7187
967	210842	6970
968	211056	6752
969	211334	6536
970	211454	6315
971	211727	6099
972	211930	5880
973	212148	5663
974	212377	5445
975	212542	5226
976	212851	5010
977	213400	4800
978	213575	4581
979	213783	4362
980	213937	4143
981	214131	3925
982	214379	3707
983	214568	3488
984	214715	3269
985	214931	3051
986	215046	2832
987	215223	2614
988	215426	2396
989	215650	2178
990	215908	1960
991	216112	1742
992	216190	1524
993	216432	1306
994	216645	1088
995	216979	871
996	217248	653
997	217558	435
998	217889	218
999	218087	0
